count,TweetId,TimeStamp,Tweet,LocationName_User,Latitude,Longitude,BoundingPoint,User Mentions,URLs,Hashtags,Fav_Count,Followers_Count
59,1.22871E+18,15-02-2020 15:38,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59","England, United Kingdom",NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",46044,4580
,,,,,,,,,,,,
60,1.2287E+18,15-02-2020 15:12,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59","York, England",NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",2974,231
,,,,,,,,,,,,
61,1.2287E+18,15-02-2020 15:02,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",Wales,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",40790,1114
,,,,,,,,,,,,
62,1.22869E+18,15-02-2020 14:44,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",United Kingdom,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",8132,289
,,,,,,,,,,,,
63,1.22869E+18,15-02-2020 14:40,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59","Yorkshire, England",NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",3364,1434
,,,,,,,,,,,,
64,1.22869E+18,15-02-2020 14:21,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",Here.....,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",32066,2287
,,,,,,,,,,,,
65,1.22868E+18,15-02-2020 14:15,"US reneged on the #KyotoProtocols didn't sign #ParisAccord, what is the efficacy of the UN on any global policy on climate change. Are India, China and the US following its directives or advice? @SustDev @UN_Spokesperson @UNHumanRights @UNClimateSummit @UNFCCC",,NA,NA,NA,"['UNFCCC', 'UNClimateSummit', 'UNHumanRights', 'UN_Spokesperson', 'SustDev']",[],"['ParisAccord', 'KyotoProtocols']",114,491
,,,,,,,,,,,,
66,1.22868E+18,15-02-2020 14:09,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59","Georgia, USA",NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",4186,1415
,,,,,,,,,,,,
67,1.22868E+18,15-02-2020 14:00,"@BillGates Understand the #ClimateChangeHoax 

Understand why the #ParisAccord is a HUGE #PonziScheme and a #scam 

👇👇👇

#FollowTheMoney

https://t.co/T5Ij9FAP59",America,NA,NA,NA,"['BillGates', 'LuluBowen1']",[],"['scam', 'PonziScheme', 'ParisAccord', 'ClimateChangeHoax']",65247,4363
,,,,,,,,,,,,
